Company Name,Open,High,Low,LTP,Change,LTP,% Change,No. of Shares Traded,No. of Trades,Date Updated
Acc Ltd.,1615,1639,1605,1633.6,33.75,1633.6,2.11,151874,13700,10/3/2016
Adani Ports And Special Economic Zone Ltd.,260.7,267.5,259.3,264.9,8.15,264.9,3.17,3775937,54378,10/3/2016
Ambuja Cements Ltd.,253.4,259.5,253,258.75,7,258.75,2.78,1887091,26294,10/3/2016
Asian Paints Ltd.,1170,1199,1165.4,1197,36.3,1197,3.13,747111,41443,10/3/2016
Aurobindo Pharma Ltd.,862,873.95,860,869.6,14.15,869.6,1.65,1421425,30866,10/3/2016
Axis Bank Ltd.,542.95,552.3,542.9,550,8.65,550,1.6,5276340,90647,10/3/2016
Bajaj Auto Ltd.,2830,2908.35,2830,2876.1,48.5,2876.1,1.72,281923,20858,10/3/2016
Bank Of Baroda,168.1,170.6,167.75,168.7,1.3,168.7,0.78,5528006,30257,10/3/2016
Bharat Heavy Electricals Ltd.,136.6,137.9,135.3,137.25,2.55,137.25,1.89,5971271,31417,10/3/2016
Bharat Petroleum Corporation Ltd.,616,630.5,615,628.5,15.9,628.5,2.6,1837223,79602,10/3/2016
Bharti Airtel Ltd.,314,320,314,318,4,318,1.27,1507552,22632,10/3/2016
Bharti Infratel Ltd.,369,369,357.1,363.5,-1.8,363.5,-0.49,1705477,44375,10/3/2016
Bosch Ltd.,22930,23127,22695.7,22750,-47.85,22750,-0.21,20044,6942,10/3/2016
Cipla Ltd.,584.7,591.7,582.2,590.5,10.45,590.5,1.8,1146677,45045,10/3/2016
Coal India Ltd.,323.1,328.7,321.5,328.2,5.9,328.2,1.83,3104019,40837,10/3/2016
Dr.Reddy'S Laboratories Ltd.,3114.6,3185,3114.6,3157.95,50.55,3157.95,1.63,216126,16117,10/3/2016
Eicher Motors Ltd.,25320,25969,25143.5,25900,1072.2,25900,4.32,55210,15897,10/3/2016
Gail (India) Ltd.,372.95,387.7,371.55,383.95,9.3,383.95,2.48,2924125,59743,10/3/2016
