Company Name,Open,High,Low,LTP,Change,LTP,% Change,No. of Shares Traded,No. of Trades,Date Updated
Acc Ltd.,1612.3,1624,1604,1608,-2.95,1608,-0.18,148821,9676,9/27/2016
Adani Ports And Special Economic Zone Ltd.,273,273.7,263.8,264.5,-5.9,264.5,-2.18,3623937,33994,9/27/2016
Ambuja Cements Ltd.,254.85,261.4,252.3,257.8,2.95,257.8,1.16,3217108,31138,9/27/2016
Asian Paints Ltd.,1184.2,1203,1184.2,1195.9,12.9,1195.9,1.09,532323,23009,9/27/2016
Aurobindo Pharma Ltd.,842,864.9,839.05,861,22.3,861,2.66,3242810,74839,9/27/2016
Axis Bank Ltd.,551,554.25,538.7,543.2,-4.2,543.2,-0.77,9085199,132412,9/27/2016
Bajaj Auto Ltd.,2918,2927.8,2870,2876,-15.6,2876,-0.54,176614,14021,9/27/2016
Bank Of Baroda,167.15,167.7,163.55,164.1,-2.25,164.1,-1.35,3742387,23478,9/27/2016
Bharat Heavy Electricals Ltd.,143.7,143.95,140.5,141.25,-1.55,141.25,-1.09,5911208,30239,9/27/2016
Bharat Petroleum Corporation Ltd.,628.2,628.6,608.4,612.5,-9.95,612.5,-1.6,2788078,92832,9/27/2016
Bharti Airtel Ltd.,321.9,321.9,314.05,315,-5.35,315,-1.67,2244406,40214,9/27/2016
Bharti Infratel Ltd.,364.9,370.25,354.7,361,-4.35,361,-1.19,1615207,54515,9/27/2016
Bosch Ltd.,22902.05,23100,22611,22741,-103.7,22741,-0.45,6951,3216,9/27/2016
Cipla Ltd.,604,610.3,601.85,606.45,1.95,606.45,0.32,1443938,30761,9/27/2016
Coal India Ltd.,335.5,337.2,332,332.4,-0.05,332.4,-0.02,3058963,45820,9/27/2016
Dr.Reddy'S Laboratories Ltd.,3195,3220,3180,3191,-8.65,3191,-0.27,174707,17561,9/27/2016
Eicher Motors Ltd.,24752,24850,24480,24690,-3.8,24690,-0.02,32364,12003,9/27/2016
Gail (India) Ltd.,377,378.5,371.85,372.2,-4.55,372.2,-1.21,1951921,41209,9/27/2016
Grasim Industries Ltd.,4898.9,4898.9,4811.25,4836,-9.75,4836,-0.2,69592,7068,9/27/2016
Hcl Technologies Ltd.,788.95,799.8,784,797.15,8.2,797.15,1.04,1631598,55624,9/27/2016
HDFC Bank Ltd,1299,1306.15,1294.85,1300,3.85,1300,0.3,1014203,16739,9/27/2016
Hero Motocorp Ltd.,3499.75,3499.75,3437.2,3451.95,-14.05,3451.95,-0.41,277573,26955,9/27/2016
Hindalco Industries Ltd.,154.35,155.3,149.55,151,-2.6,151,-1.69,8046035,40548,9/27/2016
Hindustan Unilever Ltd.,895,900.95,889.4,900.35,7.75,900.35,0.87,849724,47308,9/27/2016
Housing Development Finance Corp.Ltd.,1415.7,1423,1406,1420,7.55,1420,0.53,1288154,47654,9/27/2016
Icici Bank Ltd.,263.55,264.3,259,260.35,-2.2,260.35,-0.84,15778949,102972,9/27/2016
Idea Cellular Ltd.,79.9,80.5,79.15,79.5,-0.8,79.5,-1,9748496,48734,9/27/2016
Indusind Bank Ltd.,1201.9,1214.85,1193,1208,6.35,1208,0.53,933054,27471,9/27/2016
Infosys Ltd.,1035.05,1049.9,1033.35,1043,7.1,1043,0.69,3262830,62988,9/27/2016
Itc Ltd.,248.65,249.25,245,247,-1.05,247,-0.42,6644898,56582,9/27/2016
Kotak Mahindra Bank Ltd.,785.25,798.25,782.5,785.75,-2,785.75,-0.25,1427314,32408,9/27/2016
Larsen & Toubro Ltd.,1470.05,1476.3,1431.45,1443.75,-21.95,1443.75,-1.5,1879473,66817,9/27/2016
Lupin Ltd.,1503,1519,1495.3,1513.5,19,1513.5,1.27,1096606,47424,9/27/2016
Mahindra & Mahindra Ltd.,1380,1390.75,1368.65,1371.9,-8.3,1371.9,-0.6,979381,57217,9/27/2016
Maruti Suzuki India Ltd.,5598.95,5599.95,5500,5514.9,-54,5514.9,-0.97,427991,30814,9/27/2016
Ntpc Ltd.,152.05,153.35,151,152.8,0.65,152.8,0.43,2450812,35812,9/27/2016
Oil And Natural Gas Corporation Ltd.,249.9,251.8,246.35,248.3,-1.25,248.3,-0.5,7299978,80354,9/27/2016
Power Grid Corporation Of India Ltd.,176.65,178.15,175.85,176.35,0.65,176.35,0.37,3414102,21559,9/27/2016
Reliance Industries Ltd.,1117,1125.95,1106.6,1110.9,3.7,1110.9,0.33,4428693,99600,9/27/2016
State Bank Of India,253.15,253.9,248.3,248.85,-2.8,248.85,-1.11,11345387,68190,9/27/2016
Sun Pharmaceutical Industries Ltd.,766.5,776.9,766.15,770.95,4.8,770.95,0.63,1556490,44799,9/27/2016
Tata Consultancy Services Ltd.,2401.1,2448,2401.1,2437,35.9,2437,1.5,1019396,48249,9/27/2016
Tata Motors  Ltd - DVR,344.95,345.75,336.5,337.7,-4.55,337.7,-1.33,1742807,25378,9/27/2016
