Company Name,Open,High,Low,LTP,Change,LTP,% Change,No. of Shares Traded,No. of Trades,Date Updated
Acc Ltd.,1644,1671,1640,1667,37.75,1667,2.32,314131,15747,9/22/2016
Adani Ports And Special Economic Zone Ltd.,273.2,277.4,271.55,276,6.3,276,2.34,4923688,46503,9/22/2016
Ambuja Cements Ltd.,266.6,268.6,263.6,265.25,0.85,265.25,0.32,1727116,23521,9/22/2016
Asian Paints Ltd.,1182.3,1197,1175,1189,18.4,1189,1.57,913747,34622,9/22/2016
Aurobindo Pharma Ltd.,814,859.75,811.25,855.15,47.5,855.15,5.88,7694607,132265,9/22/2016
Axis Bank Ltd.,610,612,590,590.1,-8.8,590.1,-1.47,10205715,108120,9/22/2016
Bajaj Auto Ltd.,2936,2972.95,2916.65,2925.7,23.05,2925.7,0.79,271251,18944,9/22/2016
Bank Of Baroda,167.1,170,166.65,169.6,5.25,169.6,3.19,5591092,31480,9/22/2016
Bharat Heavy Electricals Ltd.,146.5,147.8,145.6,146.85,2.5,146.85,1.73,6075695,28112,9/22/2016
Bharat Petroleum Corporation Ltd.,593,600.5,588.7,597.8,11,597.8,1.87,2585088,56795,9/22/2016
Bharti Airtel Ltd.,323.6,327.95,322.65,326,4.15,326,1.29,1480515,25057,9/22/2016
Bharti Infratel Ltd.,378,387.8,371.2,375.1,2.45,375.1,0.66,3252622,66270,9/22/2016
Bosch Ltd.,23480.1,23625.5,23327.05,23343.25,-3.65,23343.25,-0.02,7690,2850,9/22/2016
Cipla Ltd.,605,610.95,603.9,609.4,8.05,609.4,1.34,1926725,46241,9/22/2016
Coal India Ltd.,333.35,333.55,326.65,327.15,-3.85,327.15,-1.16,2589917,28287,9/22/2016
Dr.Reddy'S Laboratories Ltd.,3152,3175.5,3142.15,3145.6,-7.4,3145.6,-0.23,287608,19641,9/22/2016
Eicher Motors Ltd.,24415,24850,24265.8,24800.9,602.25,24800.9,2.49,71474,23264,9/22/2016
Gail (India) Ltd.,390.6,394,388.35,389.8,2.6,389.8,0.67,1631134,30820,9/22/2016
Grasim Industries Ltd.,4910,4939.9,4880.4,4932,63.35,4932,1.3,107637,9673,9/22/2016
Hcl Technologies Ltd.,799,799.95,783.8,793,0.4,793,0.05,1117361,50481,9/22/2016
HDFC Bank Ltd,1305,1316.95,1300.55,1305.05,12.05,1305.05,0.93,1638950,28635,9/22/2016
Hero Motocorp Ltd.,3519.7,3576.95,3501.2,3527.65,68.25,3527.65,1.97,449341,46219,9/22/2016
Hindalco Industries Ltd.,153.4,156.2,152.25,154.85,5.3,154.85,3.54,16321716,68012,9/22/2016
Hindustan Unilever Ltd.,913,917.95,903.25,910,-3.05,910,-0.33,1250220,37768,9/22/2016
Housing Development Finance Corp.Ltd.,1405.9,1419.4,1402,1415,22.65,1415,1.63,2777234,100119,9/22/2016
Icici Bank Ltd.,276,277.9,272.3,275.05,5.15,275.05,1.91,13532986,86239,9/22/2016
Idea Cellular Ltd.,84.9,84.9,83,83.15,-1.3,83.15,-1.54,6186887,28607,9/22/2016
Indusind Bank Ltd.,1198,1226,1198,1216.4,31.4,1216.4,2.65,1207430,41560,9/22/2016
Infosys Ltd.,1059,1061,1052,1061,5.25,1061,0.5,1814757,80240,9/22/2016
Itc Ltd.,255.45,257.2,253.75,255.1,1.45,255.1,0.57,7692200,54312,9/22/2016
Kotak Mahindra Bank Ltd.,799,801.9,791,794.15,5.75,794.15,0.73,2111498,41128,9/22/2016
Larsen & Toubro Ltd.,1490,1504,1477,1498.5,26.4,1498.5,1.79,1301967,40258,9/22/2016
Lupin Ltd.,1560,1560.2,1515.75,1526.05,-19.7,1526.05,-1.27,1230280,54586,9/22/2016
Mahindra & Mahindra Ltd.,1420,1422.5,1408.2,1415,8.1,1415,0.58,968035,46736,9/22/2016
Maruti Suzuki India Ltd.,5565.35,5634.1,5564.95,5587,85.75,5587,1.56,526494,47292,9/22/2016
Ntpc Ltd.,156.75,157.3,155,156.8,2.8,156.8,1.82,2397711,25679,9/22/2016
Oil And Natural Gas Corporation Ltd.,258.9,261.15,258,258.4,3.05,258.4,1.19,5368671,67617,9/22/2016
Power Grid Corporation Of India Ltd.,177.1,180.3,176.2,178.25,2.95,178.25,1.68,2630455,21019,9/22/2016
Reliance Industries Ltd.,1083,1095.8,1079,1086.95,14.7,1086.95,1.37,4288544,82688,9/22/2016
State Bank Of India,257.9,258.45,255.1,257.9,6.75,257.9,2.69,20797370,116332,9/22/2016
Sun Pharmaceutical Industries Ltd.,786.05,788.85,783.3,786.8,7.95,786.8,1.02,1730313,57309,9/22/2016
Tata Consultancy Services Ltd.,2425.25,2428,2371.1,2380,-33.4,2380,-1.38,1428787,81643,9/22/2016
Tata Motors  Ltd - DVR,353.45,357.4,351.7,354.5,6.65,354.5,1.91,1413376,26597,9/22/2016
Tata Motors Ltd.,561.2,562.95,551.35,557.4,7.5,557.4,1.36,6012388,94438,9/22/2016
Tata Power Co.Ltd.,76.8,76.8,75.7,76,-0.25,76,-0.33,2402809,8761,9/22/2016
Tata Steel Ltd.,377.7,379.8,372.8,377.3,7.5,377.3,2.03,6669414,65404,9/22/2016
Tech Mahindra Ltd.,465,466.8,453.75,454.55,-6.6,454.55,-1.43,2766927,51295,9/22/2016
Ultratech Cement Ltd.,4009,4009,3960.05,3971.75,11,3971.75,0.28,292974,28989,9/22/2016
Wipro Ltd.,485,485.2,479.6,482,-1.85,482,-0.38,1431194,31004,9/22/2016
Yes Bank Ltd.,1245,1259,1230.9,1243.5,23.25,1243.5,1.91,4631410,94226,9/22/2016
